CASEID,race,sex,earn2009,bmonth,byear,afqt,region_1979,faminc1978,hgc,nsibs79
4708,"NON-BLACK, NON-HISPANIC",FEMALE,,3,1963,16.825,1,,,3
4709,BLACK,MALE,,12,1963,61.037,1,254278.7,,1
4710,BLACK,MALE,0,2,1957,13.195,1,37052.04,12,6
4711,BLACK,FEMALE,49704.17,8,1960,23.091,1,79916.16,12,6
4712,BLACK,MALE,44181.48,12,1962,10.01,1,79916.16,12,7
4713,"NON-BLACK, NON-HISPANIC",FEMALE,71794.91,2,1961,54.705,1,93356.61,15,1
4714,"NON-BLACK, NON-HISPANIC",FEMALE,54122.32,5,1963,64.763,1,101711.5,12,1
4715,"NON-BLACK, NON-HISPANIC",MALE,,12,1958,97.434,1,,16,1
4716,"NON-BLACK, NON-HISPANIC",MALE,85049.36,4,1959,8.573,1,72651.05,12,2
4717,"NON-BLACK, NON-HISPANIC",FEMALE,5522.686,6,1961,44.228,1,108976.6,14,2
4718,"NON-BLACK, NON-HISPANIC",MALE,,3,1959,24.843,2,25427.87,,3
4719,"NON-BLACK, NON-HISPANIC",MALE,27613.43,3,1959,22.955,3,,,3
4720,"NON-BLACK, NON-HISPANIC",MALE,68481.3,1,1957,50.743,2,,12,5
4721,"NON-BLACK, NON-HISPANIC",MALE,,3,1958,95.086,2,,,3
4722,"NON-BLACK, NON-HISPANIC",MALE,37554.26,1,1961,44.638,2,89724.05,12,1
4723,"NON-BLACK, NON-HISPANIC",FEMALE,,11,1958,69.38,3,,16,3
4724,"NON-BLACK, NON-HISPANIC",FEMALE,1104.537,7,1958,8.594,2,69018.5,12,3
4725,"NON-BLACK, NON-HISPANIC",MALE,,12,1959,,2,,,2
4726,"NON-BLACK, NON-HISPANIC",FEMALE,41972.41,1,1958,20.192,2,,16,2
4727,"NON-BLACK, NON-HISPANIC",FEMALE,,4,1963,,2,10243.8,12,1
4728,"NON-BLACK, NON-HISPANIC",FEMALE,,11,1960,72.671,2,,12,3
4729,"NON-BLACK, NON-HISPANIC",MALE,18777.13,11,1958,45.692,2,49039.46,14,3
4730,"NON-BLACK, NON-HISPANIC",FEMALE,0,7,1963,44.579,0,,11,7
4731,"NON-BLACK, NON-HISPANIC",MALE,28717.96,10,1959,16.497,2,22383.79,11,5
4732,"NON-BLACK, NON-HISPANIC",MALE,11045.37,8,1962,19.224,2,27832.62,12,5
4733,"NON-BLACK, NON-HISPANIC",FEMALE,13254.45,12,1959,16.996,2,21795.32,11,5
4734,"NON-BLACK, NON-HISPANIC",FEMALE,9940.834,4,1962,23.5,0,58120.84,12,5
4735,"NON-BLACK, NON-HISPANIC",FEMALE,0,2,1959,34.221,2,,12,5
4736,"NON-BLACK, NON-HISPANIC",MALE,35345.19,11,1963,12.338,2,9371.985,8,1
4737,"NON-BLACK, NON-HISPANIC",MALE,38658.8,10,1959,67.58,2,60300.38,16,1
4738,"NON-BLACK, NON-HISPANIC",MALE,30927.04,9,1957,59.362,2,,14,4
4739,"NON-BLACK, NON-HISPANIC",FEMALE,,7,1963,51.561,2,79916.16,15,0
4740,"NON-BLACK, NON-HISPANIC",MALE,28717.96,3,1964,43.261,2,87181.27,12,0
